learner_id,previous_performance,learning_style,learning_goal,engagement_time,completion_rate,preferred_pacing,content_interaction,prev_course,course_id,module_id,content_type,assessment_score,feedback_rating,content_difficulty,recommended_courses
1,16,visual,Gain certification,177,0.55,Fast,21,19,5,255,Quiz,27,Poor,Intermediate,16
2,78,auditory,Master topic,38,0.41,Fast,32,15,9,352,Text,11,Poor,Easy,4
3,69,visual,Master topic,60,0.86,Slow,37,12,17,398,Text,38,Good,Easy,19
4,40,kinesthetic,Master topic,106,0.93,Moderate,38,9,7,836,Quiz,93,Excellent,Easy,17
5,42,visual,Complete course,103,0.41,Moderate,36,9,13,434,Quiz,8,Average,Hard,20
6,21,kinesthetic,Gain certification,295,0.3,Slow,35,17,7,730,Video,5,Good,Hard,16
7,47,auditory,Master topic,38,0.2,Fast,6,17,15,17,Text,52,Average,Easy,19
8,35,kinesthetic,Complete course,194,0.93,Moderate,13,11,6,627,Quiz,93,Good,Hard,6
9,72,visual,Gain certification,168,0.88,Slow,20,15,13,40,Text,92,Average,Intermediate,9
10,39,kinesthetic,Complete course,40,0.49,Fast,31,9,4,325,Text,86,Average,Hard,12
11,42,auditory,Complete course,84,0.87,Slow,6,6,15,53,Quiz,61,Excellent,Hard,10
12,13,auditory,Complete course,142,0.35,Slow,3,12,18,509,Text,10,Good,Intermediate,8
13,56,kinesthetic,Complete course,90,0.29,Moderate,27,17,9,558,Quiz,40,Average,Hard,8
14,18,auditory,Complete course,157,0.89,Slow,19,18,2,491,Video,68,Poor,Easy,10
15,37,visual,Gain certification,224,0.52,Fast,43,4,16,259,Video,64,Average,Hard,15
16,2,visual,Complete course,85,0.48,Slow,7,14,12,987,Video,3,Average,Easy,3
17,53,kinesthetic,Master topic,40,0.25,Moderate,18,4,5,737,Quiz,11,Poor,Intermediate,13
18,55,visual,Gain certification,62,0.56,Fast,46,5,12,845,Text,74,Average,Easy,15
19,61,kinesthetic,Complete course,251,0.57,Moderate,38,20,6,532,Text,50,Poor,Intermediate,3
20,51,kinesthetic,Master topic,297,0.55,Slow,3,10,1,765,Text,53,Poor,Hard,6
21,79,visual,Master topic,101,0.65,Moderate,13,17,14,7,Text,4,Good,Intermediate,11
22,27,auditory,Master topic,200,0.48,Fast,20,9,8,102,Quiz,20,Excellent,Hard,6
23,84,auditory,Master topic,261,0.83,Moderate,38,8,1,396,Quiz,42,Average,Hard,15
24,89,auditory,Master topic,43,0.42,Slow,42,17,4,754,Video,23,Good,Easy,10
25,1,auditory,Master topic,184,0.68,Slow,20,5,11,8,Text,32,Excellent,Easy,4
26,16,auditory,Complete course,56,0.27,Slow,4,1,12,967,Video,74,Good,Hard,8
27,90,kinesthetic,Master topic,173,0.3,Slow,24,11,19,657,Quiz,96,Good,Hard,15
28,21,visual,Gain certification,183,0.57,Fast,41,15,17,595,Video,19,Good,Easy,20
29,12,kinesthetic,Complete course,61,0.81,Moderate,3,5,11,547,Text,9,Excellent,Intermediate,2
30,39,visual,Gain certification,286,0.5,Moderate,47,10,11,721,Quiz,26,Excellent,Hard,13
31,69,kinesthetic,Master topic,266,0.54,Fast,20,18,14,575,Text,0,Poor,Intermediate,16
32,17,auditory,Complete course,40,0.31,Fast,12,18,19,217,Text,27,Good,Hard,10
33,62,kinesthetic,Gain certification,281,0.54,Slow,40,4,18,95,Quiz,92,Excellent,Hard,7
34,0,kinesthetic,Complete course,96,0.9,Slow,24,18,5,692,Quiz,73,Good,Hard,5
35,20,visual,Master topic,241,0.37,Fast,33,11,14,678,Quiz,47,Excellent,Easy,9
36,77,auditory,Master topic,222,0.63,Moderate,19,14,17,809,Video,46,Average,Intermediate,4
37,41,auditory,Master topic,170,0.24,Fast,43,4,4,67,Quiz,39,Good,Intermediate,12
38,25,visual,Master topic,271,0.24,Fast,27,8,19,185,Quiz,93,Poor,Easy,3
39,36,auditory,Gain certification,178,0.2,Slow,22,8,9,939,Quiz,86,Average,Intermediate,19
40,13,kinesthetic,Gain certification,266,0.88,Moderate,31,16,12,205,Video,1,Average,Easy,1
41,25,auditory,Gain certification,266,0.66,Fast,6,7,2,917,Video,39,Average,Easy,2
42,6,kinesthetic,Master topic,57,0.37,Moderate,4,7,14,717,Video,45,Excellent,Intermediate,10
