learner_id,previous_performance,learning_style,learning_goal,engagement_time,completion_rate,preferred_pacing,content_interaction,prev_course
1,16,visual,Gain certification,177,0.55,Fast,21,19
2,78,auditory,Master topic,38,0.41,Fast,32,15
3,69,visual,Master topic,60,0.86,Slow,37,12
4,40,kinesthetic,Master topic,106,0.93,Moderate,38,9
5,42,visual,Complete course,103,0.41,Moderate,36,9
6,21,kinesthetic,Gain certification,295,0.3,Slow,35,17
7,47,auditory,Master topic,38,0.2,Fast,6,17
8,35,kinesthetic,Complete course,194,0.93,Moderate,13,11
9,72,visual,Gain certification,168,0.88,Slow,20,15
10,39,kinesthetic,Complete course,40,0.49,Fast,31,9
11,42,auditory,Complete course,84,0.87,Slow,6,6
12,13,auditory,Complete course,142,0.35,Slow,3,12
13,56,kinesthetic,Complete course,90,0.29,Moderate,27,17
14,18,auditory,Complete course,157,0.89,Slow,19,18
15,37,visual,Gain certification,224,0.52,Fast,43,4
16,2,visual,Complete course,85,0.48,Slow,7,14
17,53,kinesthetic,Master topic,40,0.25,Moderate,18,4
18,55,visual,Gain certification,62,0.56,Fast,46,5
19,61,kinesthetic,Complete course,251,0.57,Moderate,38,20
20,51,kinesthetic,Master topic,297,0.55,Slow,3,10
21,79,visual,Master topic,101,0.65,Moderate,13,17
22,27,auditory,Master topic,200,0.48,Fast,20,9
23,84,auditory,Master topic,261,0.83,Moderate,38,8
24,89,auditory,Master topic,43,0.42,Slow,42,17
25,1,auditory,Master topic,184,0.68,Slow,20,5
26,16,auditory,Complete course,56,0.27,Slow,4,1
27,90,kinesthetic,Master topic,173,0.3,Slow,24,11
28,21,visual,Gain certification,183,0.57,Fast,41,15
29,12,kinesthetic,Complete course,61,0.81,Moderate,3,5
30,39,visual,Gain certification,286,0.5,Moderate,47,10
31,69,kinesthetic,Master topic,266,0.54,Fast,20,18
32,17,auditory,Complete course,40,0.31,Fast,12,18
33,62,kinesthetic,Gain certification,281,0.54,Slow,40,4
34,0,kinesthetic,Complete course,96,0.9,Slow,24,18
35,20,visual,Master topic,241,0.37,Fast,33,11
36,77,auditory,Master topic,222,0.63,Moderate,19,14
37,41,auditory,Master topic,170,0.24,Fast,43,4
38,25,visual,Master topic,271,0.24,Fast,27,8
39,36,auditory,Gain certification,178,0.2,Slow,22,8
40,13,kinesthetic,Gain certification,266,0.88,Moderate,31,16
41,25,auditory,Gain certification,266,0.66,Fast,6,7
42,6,kinesthetic,Master topic,57,0.37,Moderate,4,7
43,72,auditory,Master topic,167,0.64,Fast,7,1
44,40,kinesthetic,Master topic,199,0.78,Moderate,34,14
45,93,kinesthetic,Complete course,102,0.35,Slow,35,19
46,97,kinesthetic,Complete course,113,0.52,Fast,2,9
47,56,kinesthetic,Master topic,209,0.27,Slow,5,11
48,74,auditory,Master topic,100,0.96,Moderate,23,2
49,98,visual,Gain certification,128,0.6,Moderate,29,6
50,99,auditory,Master topic,241,0.94,Moderate,13,12
51,11,kinesthetic,Gain certification,74,0.76,Fast,23,16
52,82,kinesthetic,Master topic,290,0.43,Slow,33,8
53,43,auditory,Gain certification,226,0.67,Moderate,34,5
54,40,kinesthetic,Master topic,122,0.89,Slow,47,6
55,80,visual,Complete course,150,0.75,Fast,30,7
56,68,kinesthetic,Complete course,292,0.66,Slow,33,12
57,14,visual,Master topic,93,0.76,Moderate,23,7
58,81,visual,Gain certification,200,0.59,Moderate,31,17
59,25,auditory,Master topic,181,0.59,Slow,24,13
60,40,visual,Master topic,273,0.2,Slow,40,2
61,5,auditory,Complete course,98,0.82,Moderate,33,3
62,54,kinesthetic,Gain certification,241,0.97,Slow,13,6
63,82,visual,Complete course,142,0.99,Fast,48,9
64,87,kinesthetic,Complete course,159,0.73,Fast,33,10
65,95,kinesthetic,Complete course,211,0.76,Moderate,24,20
66,97,kinesthetic,Gain certification,127,0.78,Slow,3,15
67,72,visual,Complete course,106,1.0,Fast,24,10
68,68,auditory,Complete course,125,0.93,Fast,10,6
69,31,auditory,Master topic,299,0.63,Fast,22,3
70,87,visual,Master topic,160,0.87,Fast,45,15
71,94,visual,Gain certification,230,0.99,Slow,30,8
72,15,auditory,Gain certification,67,0.48,Slow,35,18
73,25,visual,Master topic,239,0.76,Fast,38,8
74,23,kinesthetic,Complete course,223,0.64,Slow,4,16
75,61,auditory,Master topic,48,0.96,Moderate,31,6
76,4,kinesthetic,Gain certification,103,0.58,Slow,45,18
77,21,kinesthetic,Gain certification,32,0.43,Moderate,12,16
78,56,kinesthetic,Gain certification,97,0.42,Slow,24,19
79,49,auditory,Gain certification,186,0.31,Slow,25,17
80,33,kinesthetic,Complete course,181,0.38,Slow,46,4
81,24,visual,Master topic,61,0.24,Moderate,19,7
82,55,kinesthetic,Master topic,150,0.43,Fast,3,14
83,3,kinesthetic,Gain certification,250,0.31,Slow,33,13
84,10,kinesthetic,Master topic,190,0.43,Slow,35,6
85,96,auditory,Complete course,256,0.73,Moderate,46,6
86,84,visual,Master topic,62,0.86,Slow,29,10
87,36,auditory,Master topic,253,0.77,Fast,11,14
88,28,auditory,Complete course,116,0.47,Slow,28,4
89,16,visual,Gain certification,281,0.47,Slow,10,10
90,15,visual,Master topic,152,0.67,Fast,49,17
91,29,auditory,Gain certification,111,0.66,Slow,23,7
92,13,kinesthetic,Master topic,118,0.94,Slow,40,9
93,1,auditory,Complete course,55,0.83,Fast,47,9
94,28,kinesthetic,Gain certification,153,0.98,Moderate,7,17
95,88,kinesthetic,Complete course,228,0.5,Moderate,36,3
96,13,visual,Gain certification,47,0.43,Moderate,49,15
97,94,auditory,Complete course,207,0.26,Fast,42,16
98,35,kinesthetic,Gain certification,209,0.92,Slow,49,7
