learner_id,course_id,module_id,content_type,assessment_score,feedback_rating,content_difficulty,recommended_courses
1,5,255,Quiz,27,Poor,Intermediate,16
2,9,352,Text,11,Poor,Easy,4
3,17,398,Text,38,Good,Easy,19
4,7,836,Quiz,93,Excellent,Easy,17
5,13,434,Quiz,8,Average,Hard,20
6,7,730,Video,5,Good,Hard,16
7,15,17,Text,52,Average,Easy,19
8,6,627,Quiz,93,Good,Hard,6
9,13,40,Text,92,Average,Intermediate,9
10,4,325,Text,86,Average,Hard,12
11,15,53,Quiz,61,Excellent,Hard,10
12,18,509,Text,10,Good,Intermediate,8
13,9,558,Quiz,40,Average,Hard,8
14,2,491,Video,68,Poor,Easy,10
15,16,259,Video,64,Average,Hard,15
16,12,987,Video,3,Average,Easy,3
17,5,737,Quiz,11,Poor,Intermediate,13
18,12,845,Text,74,Average,Easy,15
19,6,532,Text,50,Poor,Intermediate,3
20,1,765,Text,53,Poor,Hard,6
21,14,7,Text,4,Good,Intermediate,11
22,8,102,Quiz,20,Excellent,Hard,6
23,1,396,Quiz,42,Average,Hard,15
24,4,754,Video,23,Good,Easy,10
25,11,8,Text,32,Excellent,Easy,4
26,12,967,Video,74,Good,Hard,8
27,19,657,Quiz,96,Good,Hard,15
28,17,595,Video,19,Good,Easy,20
29,11,547,Text,9,Excellent,Intermediate,2
30,11,721,Quiz,26,Excellent,Hard,13
31,14,575,Text,0,Poor,Intermediate,16
32,19,217,Text,27,Good,Hard,10
33,18,95,Quiz,92,Excellent,Hard,7
34,5,692,Quiz,73,Good,Hard,5
35,14,678,Quiz,47,Excellent,Easy,9
36,17,809,Video,46,Average,Intermediate,4
37,4,67,Quiz,39,Good,Intermediate,12
38,19,185,Quiz,93,Poor,Easy,3
39,9,939,Quiz,86,Average,Intermediate,19
40,12,205,Video,1,Average,Easy,1
41,2,917,Video,39,Average,Easy,2
42,14,717,Video,45,Excellent,Intermediate,10
43,16,392,Text,10,Good,Hard,15
44,16,2,Text,67,Average,Hard,19
45,6,946,Quiz,82,Average,Hard,1
46,7,306,Text,91,Average,Intermediate,15
47,18,498,Quiz,41,Good,Easy,6
48,9,533,Quiz,34,Average,Easy,12
49,19,22,Video,79,Excellent,Intermediate,3
50,3,42,Quiz,52,Good,Hard,9
51,13,551,Video,95,Poor,Easy,20
52,3,222,Video,79,Average,Easy,9
53,19,5,Quiz,20,Good,Easy,11
54,17,479,Text,4,Poor,Easy,2
55,5,915,Video,16,Excellent,Hard,3
56,2,798,Video,26,Excellent,Easy,14
57,4,968,Text,32,Average,Intermediate,18
58,19,766,Text,55,Poor,Hard,8
59,15,115,Video,84,Poor,Intermediate,17
60,8,235,Text,52,Average,Hard,16
61,14,44,Text,41,Excellent,Intermediate,12
62,17,749,Video,56,Excellent,Intermediate,17
63,2,793,Text,5,Excellent,Hard,5
64,16,404,Quiz,1,Excellent,Intermediate,5
65,12,630,Quiz,17,Good,Intermediate,11
66,14,299,Quiz,47,Excellent,Easy,13
67,17,860,Text,26,Excellent,Easy,6
68,6,440,Text,89,Good,Intermediate,2
69,7,656,Quiz,78,Good,Intermediate,15
70,18,685,Video,16,Poor,Easy,3
71,8,103,Text,40,Excellent,Intermediate,20
72,12,380,Quiz,50,Poor,Intermediate,3
73,6,645,Video,55,Average,Hard,12
74,7,342,Quiz,67,Good,Intermediate,9
75,6,326,Text,8,Poor,Intermediate,9
76,15,618,Video,39,Excellent,Intermediate,11
77,10,828,Quiz,33,Good,Intermediate,13
78,1,99,Text,28,Poor,Hard,15
79,11,668,Video,65,Average,Hard,11
80,3,493,Quiz,69,Average,Hard,8
81,11,609,Video,33,Excellent,Easy,8
82,6,879,Text,55,Good,Hard,13
83,7,306,Quiz,25,Good,Hard,15
84,2,562,Text,87,Excellent,Intermediate,11
85,4,743,Text,18,Average,Intermediate,15
86,14,934,Video,37,Average,Intermediate,18
87,15,773,Video,29,Good,Intermediate,3
88,17,350,Quiz,97,Average,Hard,7
89,9,222,Quiz,10,Excellent,Intermediate,5
90,1,37,Text,73,Poor,Intermediate,7
91,11,730,Quiz,9,Excellent,Easy,11
92,6,226,Quiz,98,Excellent,Intermediate,6
93,2,991,Text,20,Excellent,Easy,16
94,1,877,Video,15,Good,Hard,9
95,16,910,Quiz,96,Poor,Hard,1
96,10,34,Text,51,Average,Intermediate,12
97,5,970,Quiz,79,Average,Hard,1
98,12,2,Video,60,Excellent,Hard,11
99,14,325,Quiz,18,Good,Hard,10
100,19,944,Video,43,Excellent,Easy,9
101,14,955,Video,51,Average,Hard,15
102,3,315,Quiz,76,Poor,Intermediate,7
103,8,920,Video,92,Good,Easy,7
104,12,330,Quiz,60,Excellent,Easy,12
105,2,630,Text,60,Poor,Intermediate,16
106,7,983,Video,91,Excellent,Hard,17
107,16,469,Quiz,23,Poor,Easy,18
108,11,105,Quiz,10,Excellent,Hard,13
109,13,328,Video,89,Good,Easy,6
110,6,976,Video,70,Average,Hard,7
111,3,401,Video,25,Good,Intermediate,3
112,14,744,Quiz,30,Average,Easy,10
113,19,442,Video,71,Poor,Easy,14
114,12,188,Text,0,Poor,Intermediate,10
115,2,929,Quiz,61,Poor,Hard,20
116,13,145,Text,49,Excellent,Intermediate,7
117,17,98,Text,35,Excellent,Intermediate,8
118,14,888,Video,9,Good,Hard,20
119,16,914,Video,86,Good,Easy,1
120,1,637,Quiz,20,Poor,Easy,16
121,18,394,Video,59,Poor,Easy,8
122,4,401,Quiz,55,Excellent,Intermediate,15
123,14,957,Quiz,40,Poor,Easy,13
124,4,976,Video,22,Good,Easy,14
125,15,789,Video,75,Good,Hard,7
126,12,654,Video,14,Average,Hard,7
127,12,321,Video,61,Poor,Hard,3
128,5,280,Quiz,56,Average,Easy,18
129,3,694,Text,82,Poor,Intermediate,1
130,5,213,Video,86,Average,Intermediate,13
131,16,883,Quiz,2,Poor,Hard,10
132,9,823,Quiz,95,Excellent,Intermediate,10
133,8,79,Quiz,58,Average,Easy,18
134,1,362,Text,24,Excellent,Easy,14
135,1,225,Quiz,25,Poor,Hard,1
136,13,15,Text,11,Excellent,Easy,7
137,13,816,Quiz,43,Good,Hard,13
138,12,4,Quiz,93,Good,Easy,11
